15min Data - Radio LAG (Radio GRP3)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,1249600355,9525508616,4880061,8743393,0,NORMAL,0,NORMAL,0,NORMAL,47475,33206,3028193,996432,987562,719690,176692,285328,224810,263046,390758,6443746,0,NORMAL,0,NORMAL,0,0,180,6231,36,14771,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,15,117,00:06:50,00:10:10
00:30,1142574465,11296336523,5181745,9664012,0,NORMAL,0,NORMAL,0,NORMAL,54715,32549,3467651,858105,969021,636615,177900,255874,208541,236435,281197,7641401,0,NORMAL,0,NORMAL,0,0,180,6190,40,15108,0,NORMAL,0,0,0,0,0,0,195,8,0,0,0,0,0,0,,,,,VALID,14,149,00:25:00,00:22:40
00:45,1093040910,8130727122,4290172,7360145,0,NORMAL,0,NORMAL,0,NORMAL,58909,31737,2804145,834603,689523,553069,167615,257017,222900,208130,325273,5474185,0,NORMAL,0,NORMAL,0,0,178,6196,36,15003,0,NORMAL,0,0,0,0,0,0,23,21,0,0,0,0,0,0,,,,,VALID,18,137,00:43:20,00:32:20
01:00,1015405551,7961995803,3827220,7172388,0,NORMAL,0,NORMAL,0,NORMAL,53187,31231,2312575,751226,760746,500190,153989,235515,225740,183238,299532,5449540,0,NORMAL,0,NORMAL,0,0,180,6193,40,14428,0,NORMAL,0,0,0,0,0,0,61,0,0,0,0,0,0,0,,,,,VALID,22,119,00:53:00,00:53:00
01:15,1056377707,7181538503,3634158,6589801,0,NORMAL,0,NORMAL,0,NORMAL,54134,30987,2107202,733783,706274,527353,152112,228535,229517,193679,364054,4865986,0,NORMAL,0,NORMAL,0,0,180,6207,36,14142,0,NORMAL,0,0,0,0,0,0,1261,179,0,0,0,0,0,0,,,,,VALID,23,153,01:12:40,01:02:00
01:30,879855962,6618291937,3085056,5991448,0,NORMAL,0,NORMAL,0,NORMAL,50816,32200,1855776,631159,573352,439200,98043,174895,182129,174387,304336,4535094,0,NORMAL,0,NORMAL,0,0,180,6175,40,14369,0,NORMAL,0,0,0,0,0,0,1009,37,0,0,0,0,0,0,,,,,VALID,24,105,01:28:50,01:15:00
01:45,791732839,7383649304,3092025,6411259,0,NORMAL,0,NORMAL,0,NORMAL,50417,29773,1969083,600413,554624,413457,87276,158738,173660,146741,237238,5059902,0,NORMAL,0,NORMAL,0,0,178,6149,35,13852,0,NORMAL,0,0,0,0,0,0,254,360,0,0,0,0,0,0,,,,,VALID,10,172,01:40:50,01:40:50
02:00,758191818,5933817682,2707511,5231658,0,NORMAL,0,NORMAL,0,NORMAL,47369,30368,1731585,512666,381411,316339,111931,122285,160654,120289,255258,4128632,0,NORMAL,0,NORMAL,0,0,180,6155,41,14082,0,NORMAL,0,0,0,0,0,0,669,0,0,0,0,0,0,0,,,,,VALID,9,79,01:46:30,01:58:40
02:15,689697344,4354384533,2315429,4089261,0,NORMAL,0,NORMAL,0,NORMAL,64443,31185,1312271,525599,419146,336464,109053,115274,146146,88409,245075,2985238,0,NORMAL,0,NORMAL,0,0,180,6168,36,14347,0,NORMAL,0,0,0,0,0,0,508,44,0,0,0,0,0,0,,,,,VALID,8,65,02:00:40,02:01:10
02:30,588969486,3942821966,1979085,3816576,0,NORMAL,0,NORMAL,0,NORMAL,51302,35378,1046344,531626,411469,304613,138097,149779,109653,82168,203407,2706441,0,NORMAL,0,NORMAL,0,0,180,6153,41,13875,0,NORMAL,0,0,0,0,0,0,493,492,0,0,0,0,0,0,,,,,VALID,8,88,02:18:00,02:24:20
02:45,643157974,4308769214,1967962,4014490,0,NORMAL,0,NORMAL,0,NORMAL,48001,41657,1017678,505256,427672,276304,104547,120321,111219,86391,227880,2970629,0,NORMAL,0,NORMAL,0,0,179,6157,35,13514,0,NORMAL,0,0,0,0,0,0,2234,841,0,0,0,0,0,0,,,,,VALID,8,250,02:38:40,02:33:00
03:00,592356762,4976967666,2077950,4419133,0,NORMAL,0,NORMAL,0,NORMAL,45532,28235,1296811,492096,355323,258606,63772,127555,94532,95350,203117,3417095,0,NORMAL,0,NORMAL,0,0,179,6159,41,13147,0,NORMAL,0,0,0,0,0,0,490,57,0,0,0,0,0,0,,,,,VALID,7,166,02:59:50,02:55:20
03:15,516069110,4440137623,1986716,4145696,0,NORMAL,0,NORMAL,0,NORMAL,41650,28958,1245118,521850,353950,331425,86537,151627,90981,103705,148125,3006308,0,NORMAL,0,NORMAL,0,0,180,6152,35,13596,0,NORMAL,0,0,0,0,0,0,0,145,0,0,0,0,0,0,,,,,VALID,8,88,03:00:10,03:09:30
